Location,Period,Value
GBR,2006-Q1,4.1824
GBR,2006-Q2,4.61033333333333
GBR,2006-Q3,4.62056666666667
GBR,2006-Q4,4.5934
GBR,2007-Q1,4.8616
GBR,2007-Q2,5.20726666666667
GBR,2007-Q3,5.1837
GBR,2007-Q4,4.79253333333333
GBR,2008-Q1,4.5203
GBR,2008-Q2,4.90726666666667
GBR,2008-Q3,4.78206666666667
GBR,2008-Q4,4.15326666666667
GBR,2009-Q1,3.5365
GBR,2009-Q2,3.5833
GBR,2009-Q3,3.73153333333333
GBR,2009-Q4,3.73873333333333
GBR,2010-Q1,4.05213333333333
GBR,2010-Q2,3.8262
GBR,2010-Q3,3.2896
GBR,2010-Q4,3.32976666666667
GBR,2011-Q1,3.78193333333333
GBR,2011-Q2,3.56053333333333
GBR,2011-Q3,2.867
GBR,2011-Q4,2.3345
GBR,2012-Q1,2.2175
GBR,2012-Q2,1.97436666666667
GBR,2012-Q3,1.68266666666667
GBR,2012-Q4,1.79763333333333
GBR,2013-Q1,2.07813333333333
GBR,2013-Q2,2.01163333333333
GBR,2013-Q3,2.6747
GBR,2013-Q4,2.79466666666667
GBR,2014-Q1,2.83613333333333
GBR,2014-Q2,2.7416
GBR,2014-Q3,2.58696666666667
GBR,2014-Q4,2.11163333333333
GBR,2015-Q1,1.70653333333333
GBR,2015-Q2,1.98296666666667
GBR,2015-Q3,1.99886666666667
GBR,2015-Q4,1.91576666666667
GBR,2016-Q1,1.60996666666667
GBR,2016-Q2,1.47196666666667
GBR,2016-Q3,0.8411
GBR,2016-Q4,1.2978
GBR,2017-Q1,1.3067
GBR,2017-Q2,1.09366666666667
GBR,2017-Q3,1.213
GBR,2017-Q4,1.32986666666667
GBR,2018-Q1,1.5015
GBR,2018-Q2,1.47843333333333
GBR,2018-Q3,1.4251
GBR,2018-Q4,1.4376
GBR,2019-Q1,1.25036666666667
GBR,2019-Q2,1.07986666666667
GBR,2019-Q3,0.6687
GBR,2019-Q4,0.744366666666666
CAN,1991-Q1,9.76278787878787
CAN,1991-Q2,9.67625757575757
CAN,1991-Q3,9.72005194805194
CAN,1991-Q4,8.66460606060606
CAN,1992-Q1,8.42415151515152
CAN,1992-Q2,8.52406926406926
CAN,1992-Q3,7.4982012987013
CAN,1992-Q4,7.79850793650794
CAN,1993-Q1,7.69047101449275
CAN,1993-Q2,7.49667532467533
CAN,1993-Q3,7.0131746031746
CAN,1993-Q4,6.77996031746032
CAN,1994-Q1,6.87871739130435
CAN,1994-Q2,8.50637085137085
CAN,1994-Q3,8.98157359307359
CAN,1994-Q4,9.09280952380952
CAN,1995-Q1,8.96439924085576
CAN,1995-Q2,8.11182615629984
CAN,1995-Q3,8.0895303030303
CAN,1995-Q4,7.48141186299081
CAN,1996-Q1,7.31806637806638
CAN,1996-Q2,7.75906854256854
